PHIF,SW,VSH
0.05629200000000001,0.9912139999999997,0.100504
0.07434999999999996,0.9087839999999996,0.1266890000000001
0.10076700000000001,0.7041750000000002,0.16995000000000013
0.03818400000000002,0.9954399999999999,0.09026400000000001
0.05923299999999999,0.9908379999999998,0.11079100000000007
0.05923299999999999,0.9908379999999998,0.11079100000000007
0.059651999999999976,0.9934539999999998,0.11138200000000006
0.063316,0.9909289999999998,0.12726000000000004
0.063316,0.9909289999999998,0.12726000000000004
0.06091299999999997,0.9877509999999999,0.11380300000000006
0.07974400000000001,0.9243319999999997,0.17768399999999995
0.091921,0.7983600000000004,0.18737600000000001
0.10057399999999998,0.6879340000000004,0.18051400000000023
0.056255999999999994,0.9943279999999999,0.11634400000000004
0.055790999999999986,0.994028,0.11449800000000003
0.05041199999999996,0.9967539999999999,0.11940700000000005
0.06758499999999999,0.9404029999999995,0.12088500000000003
0.05077999999999999,0.9921939999999998,0.09758699999999994
0.05122999999999999,0.9909199999999998,0.09721099999999996
0.083125,0.8719339999999999,0.16110700000000017
0.06807999999999997,0.9552549999999997,0.11790800000000007
0.06555699999999999,0.9484079999999999,0.11856200000000003
0.09584899999999996,0.7302620000000001,0.15386500000000009
0.09584899999999996,0.7302620000000001,0.15386500000000009
0.094775,0.7311050000000001,0.16158500000000012
0.07712399999999998,0.9342289999999998,0.14503200000000002
0.09828099999999995,0.7169630000000002,0.18378900000000012
0.09924599999999996,0.7116709999999999,0.1621320000000001
0.10008399999999998,0.6843670000000003,0.1684910000000001
0.04519099999999995,0.9966739999999998,0.10192200000000005
0.04598299999999995,0.995324,0.10061100000000005
0.05215299999999995,0.9892559999999999,0.11023000000000004
0.09694199999999997,0.7057510000000002,0.16851300000000008
0.09339299999999998,0.8227159999999999,0.19211499999999998
0.06698799999999999,0.9886539999999999,0.14672600000000002
0.073283,0.9758999999999999,0.16439499999999996
0.07335499999999998,0.9720909999999999,0.15188199999999996
0.07105600000000002,0.9696869999999999,0.16250199999999995
0.07092400000000001,0.9650549999999999,0.18041899999999994
0.08065500000000003,0.9163819999999997,0.16986400000000004
0.07228499999999999,0.98309,0.15516899999999997
0.09954199999999995,0.8000970000000001,0.19905800000000007
0.10233999999999994,0.7085530000000001,0.17809500000000011
0.09944899999999997,0.7409219999999999,0.16845600000000005
0.103342,0.7535880000000001,0.18950900000000004
0.10086299999999994,0.6888120000000005,0.16772300000000012
0.11009099999999991,0.7802219999999997,0.16386599999999998
0.11883799999999996,0.723713,0.1686869999999999
0.12394300000000005,0.7092299999999996,0.16081999999999996
0.11357599999999995,0.7659569999999998,0.16272799999999993
0.11045299999999993,0.7868139999999998,0.16729999999999992
0.11366399999999997,0.7745159999999999,0.17022899999999996
0.10818399999999993,0.8046890000000002,0.1845929999999999
0.11102699999999993,0.8104769999999999,0.1719139999999999
0.11160199999999997,0.7806970000000001,0.18106999999999993
0.1481089999999999,0.5832170000000002,0.07659700000000001
0.14843399999999987,0.6285590000000003,0.07055900000000004
0.1476449999999999,0.6234560000000002,0.06837700000000005
0.11589699999999996,0.7475250000000001,0.17184699999999997
0.117806,0.7293339999999999,0.1639579999999999
0.09730199999999999,0.8911649999999995,0.14014900000000005
0.06603400000000001,0.9939999999999999,0.09599299999999998
0.049442999999999966,0.9982,0.10081
0.12622200000000003,0.7012520000000002,0.14714199999999997
0.13670299999999996,0.650175,0.13183500000000004
0.16183899999999987,0.5357320000000003,0.06706000000000002
0.15346899999999983,0.6041810000000003,0.064268
0.15147899999999984,0.6150010000000004,0.062848
0.15464899999999987,0.5818390000000001,0.06702800000000003
0.10760699999999997,0.7425450000000002,0.18369400000000002
0.10953699999999998,0.737476,0.17653300000000005
0.10517599999999998,0.761135,0.187128
0.09712399999999993,0.795508,0.17941699999999997
0.10155999999999993,0.7868719999999996,0.200506
0.11458499999999999,0.7300340000000003,0.20578700000000008
0.11435699999999999,0.7282310000000004,0.2054900000000001
0.114068,0.7272570000000003,0.20789000000000005
0.095163,0.8136969999999999,0.1880120000000001
0.10493100000000002,0.7661000000000001,0.19363500000000006
0.10545000000000002,0.764868,0.19257300000000005
0.10111799999999997,0.8137049999999999,0.19427400000000006
0.15460399999999985,0.5434530000000004,0.07839800000000005
0.15570999999999985,0.5453690000000004,0.07450700000000006
0.15455299999999983,0.5536250000000004,0.07622600000000007
0.10453599999999998,0.783723,0.21527300000000008
0.10499499999999998,0.7754519999999999,0.21498600000000007
0.11239199999999999,0.74519,0.19915600000000008
0.10747399999999996,0.7497499999999998,0.19191800000000012
0.09244899999999998,0.8550559999999998,0.198493
0.094191,0.8478249999999998,0.19956300000000005
0.077447,0.9448539999999999,0.148024
